cod,fam,sp,dbh,inclin,ori,h,bark_detailed,bark_simp,Y,X,Z,orch_presence,moss_presence
188,Chlorantaceae,Hedyosmum.spectabile,1.0,20.0,150.0,2.0,estriada,estriada,710857.344,9558897.109,2276.871,0,1
189,Lauraceae,Beilschmiedia.sp1,2.0,78.0,150.0,2.8,estriada,estriada,710856.426,9558899.240,2277.663,0,1
190,Rubiaceae,Elaeagia.karstenii,1.5,71.0,140.0,2.9,estriada,estriada,710857.549,9558899.022,2277.362,0,1
191,Melastomataceae,Meriania.sp1,1.8,65.0,180.0,4.9,estriada,estriada,710857.801,9558899.116,2277.572,0,1
192,Rubiaceae,Palicourea.angustifolia,4.9,60.0,180.0,3.8,estriada,estriada,710857.564,9558899.104,2277.347,0,1
193,Cyatheaceae,Cyathea.peladensis,2.7,36.0,90.0,2.1,estriada,estriada,710853.844,9558898.900,2278.229,0,1
194,Arboles.muertos,arbol.muerto,19.5,41.0,130.0,3.7,estriada,estriada,710854.107,9558899.190,2278.303,0,1
195,Myrtaceae,Eugenia.sp,1.7,70.0,120.0,3.1,estriada,estriada,710856.506,9558899.856,2278.075,0,1
196,Mimosaceae,Abarema.killipii,1.8,90.0,0.0,2.0,estriada,estriada,710856.833,9558900.357,2278.145,0,1
199,Myrsinaceae,Myrsine.andina,4.4,85.0,250.0,4.0,lisa,lisa,710854.665,9558898.724,2277.885,0,1
200,Cyatheaceae,Cyathea.peladensis,2.4,36.0,130.0,1.9,estriada,estriada,710854.654,9558902.308,2278.708,0,0
202,Melastomataceae,Graffenrieda.harlingii,1.7,70.0,100.0,8.0,estriada,estriada,710854.131,9558891.517,2276.116,0,1
204,Rubiaceae,Elaeagia.karstenii,2.5,65.0,120.0,1.5,estriada,estriada,710852.464,9558891.950,2277.161,0,1
206,Arboles.muertos,arbol.muerto,1.4,5.0,130.0,0.4,estriada,estriada,710857.453,9558894.317,2276.070,0,0
207,Euphorbiaceae,Alchornea.triplinervia,23.0,70.0,168.0,9.5,estriada,estriada,710857.290,9558893.129,2275.734,0,1
208,Symplocaceae,Symplocos.bogotensis,5.5,49.0,172.0,3.1,estriada,estriada,710857.546,9558893.454,2275.652,0,1
209,Arboles.muertos,arbol.muerto,6.5,75.0,160.0,5.5,estriada,estriada,710858.338,9558893.128,2275.511,0,1
210,Rubiaceae,Elaeagia.karstenii,2.3,85.0,204.0,3.1,estriada,estriada,710858.380,9558892.719,2275.238,0,1
211,Clusiaceae,Clusia.alata,8.1,65.0,139.0,5.5,estriada,estriada,710856.339,9558897.169,2275.357,0,1
214,Arboles.muertos,arbol.muerto,4.5,45.0,151.0,1.7,estriada,estriada,710857.199,9558895.588,2276.534,0,1
215,Cyatheaceae,Cyathea.peladensis,3.0,32.0,122.0,1.7,estriada,estriada,710856.279,9558896.446,2276.983,0,0
218,Rubiaceae,Faramea.anysocalix,4.0,6.0,180.0,1.7,estriada,estriada,710859.054,9558897.958,2276.923,0,1
219,Rubiaceae,Elaeagia.karstenii,3.0,53.0,80.0,2.4,estriada,estriada,710859.358,9558897.390,2276.757,0,1
220,Melastomataceae,Miconia.tinifolia,4.5,40.0,72.0,5.1,estriada,estriada,710859.499,9558897.178,2276.786,0,1
222,Rubiaceae,Elaeagia.karstenii,1.3,18.0,78.0,1.2,lisa,lisa,710859.716,9558897.276,2276.893,0,1
223,Rubiaceae,Stilpnophyllum.oellgaardi,1.1,39.0,60.0,1.7,estriada,estriada,710858.079,9558899.004,2277.366,0,1
226,Poaceae,Chusquea.sp,1.0,90.0,v,4.0,lisa,lisa,710857.745,9558901.567,2278.446,0,1
227,Melastomataceae,Meriania.sp1,4.9,60.0,100.0,3.5,estriada,estriada,710857.337,9558901.992,2278.752,0,1
228,Melastomataceae,Miconia.sp9,5.9,42.0,80.0,2.3,estriada,estriada,710857.189,9558902.183,2278.967,0,1
229,Rubiaceae,Psychotria.sp1,2.5,65.0,36.0,3.4,estriada,estriada,710857.707,9558902.076,2278.780,0,1
232,Arboles.muertos,arbol.muerto,2.3,52.0,44.0,1.9,lisa,lisa,710855.691,9558903.876,2279.139,0,1
233,Liana,Liana,1.7,50.0,250.0,4.0,estriada,estriada,710857.905,9558903.787,2279.195,0,0
234,Meliaceae,Ruagea.glabra,2.1,90.0,360.0,2.5,estriada,estriada,710858.692,9558903.476,2278.741,0,1
235,Melastomataceae,Miconia.sp10,1.0,15.0,142.0,1.5,estriada,estriada,710858.497,9558901.951,2278.528,0,1
236,Liana,Liana,4.1,-21.0,160.0,3.1,pustulas,pustulas,710851.391,9558913.802,2282.414,0,1
